# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
43 7.9031765e-01 1.8677946e+01 1.4017161e+01 6.3836485e-01 3.8715513e+00 8.4196943e-01 1.8528336e+01 4.2470954e+01
44 7.8955126e-01 1.8708406e+01 1.3918748e+01 5.9621620e-01 3.8462102e+00 8.2996178e-01 1.8746916e+01 4.3329951e+01
45 7.8193963e-01 1.8903641e+01 1.3770851e+01 6.0681522e-01 3.8883414e+00 8.2658422e-01 1.8748440e+01 4.4163950e+01
46 7.7563113e-01 1.8988573e+01 1.3658302e+01 5.7864428e-01 3.8555691e+00 8.2687527e-01 1.8923918e+01 4.5045951e+01
47 7.7353209e-01 1.9106808e+01 1.3547779e+01 5.3908575e-01 3.8615932e+00 8.2353014e-01 1.9011816e+01 4.5847946e+01
48 7.7098805e-01 1.9194664e+01 1.3469949e+01 5.4089415e-01 3.8689692e+00 8.1853712e-01 1.9150696e+01 4.6752945e+01
49 7.6973188e-01 1.9292660e+01 1.3313682e+01 5.6101471e-01 3.8529136e+00 8.1613499e-01 1.9190159e+01 4.7523944e+01
50 7.6335245e-01 1.9374088e+01 1.3168585e+01 5.2996236e-01 3.8577383e+00 8.1748533e-01 1.9231424e+01 4.8554946e+01
51 7.6508486e-01 1.9413599e+01 1.3039563e+01 4.9016923e-01 3.8128891e+00 8.1478012e-01 1.9327642e+01 4.9600942e+01
52 7.6187193e-01 1.9479353e+01 1.2907642e+01 5.3714180e-01 3.8352692e+00 8.1242514e-01 1.9414310e+01 5.0454938e+01
53 7.5639832e-01 1.9550304e+01 1.2733591e+01 4.6649438e-01 3.8232822e+00 8.0452561e-01 1.9421429e+01 5.1364937e+01
54 7.5215584e-01 1.9591427e+01 1.2621988e+01 5.1070553e-01 3.8040113e+00 8.0303514e-01 1.9504509e+01 5.2177934e+01
55 7.4852765e-01 1.9670258e+01 1.2461457e+01 4.7229505e-01 3.8302543e+00 8.0054826e-01 1.9513647e+01 5.3037932e+01
56 7.4451262e-01 1.9666172e+01 1.2298449e+01 4.5698333e-01 3.7826011e+00 8.0505210e-01 1.9587103e+01 5.3905931e+01
57 7.4592495e-01 1.9768362e+01 1.2244102e+01 4.0325660e-01 3.8143780e+00 7.9493141e-01 1.9629988e+01 5.4789927e+01
58 7.4390727e-01 1.9777067e+01 1.2055712e+01 4.1749591e-01 3.7683685e+00 7.9606366e-01 1.9848694e+01 5.5702925e+01
59 7.4373549e-01 1.9924774e+01 1.1836393e+01 4.2405328e-01 3.8061845e+00 7.9047137e-01 1.9807234e+01 5.6574925e+01
60 7.3972142e-01 1.9966967e+01 1.1706195e+01 4.2338666e-01 3.7932467e+00 8.0449301e-01 1.9878418e+01 5.7431923e+01
61 7.3836929e-01 2.0022167e+01 1.1530164e+01 4.3719095e-01 3.7395914e+00 8.0487758e-01 1.9947260e+01 5.8364920e+01
62 7.5934893e-01 2.0149122e+01 1.1490705e+01 3.9647615e-01 3.8095601e+00 8.0097240e-01 1.9917488e+01 5.9586918e+01
63 7.3288429e-01 2.0176207e+01 1.1134201e+01 3.9162943e-01 3.7268717e+00 8.0487537e-01 2.0044094e+01 6.0777916e+01
64 7.1842504e-01 2.0300367e+01 1.1078297e+01 4.0815580e-01 3.7457328e+00 7.6783413e-01 2.0246828e+01 6.2020915e+01
65 7.1304590e-01 2.0445906e+01 1.0832705e+01 4.0808246e-01 3.7460873e+00 7.6376295e-01 2.0287907e+01 6.3124916e+01
66 6.9920754e-01 2.0585999e+01 1.0691281e+01 4.0208229e-01 3.7451441e+00 8.0831164e-01 2.0465816e+01 6.4230915e+01
67 7.2187614e-01 2.0764198e+01 1.0640847e+01 3.6346987e-01 3.6814399e+00 7.5512600e-01 2.0674242e+01 6.5088916e+01
68 6.8731874e-01 2.0963310e+01 1.0420518e+01 4.1248256e-01 3.7481735e+00 7.0875174e-01 2.0907671e+01 6.5943913e+01
69 6.5981084e-01 2.1100969e+01 1.0334596e+01 3.8129899e-01 3.7348430e+00 7.1318030e-01 2.1096998e+01 6.6765911e+01
70 6.5785962e-01 2.1257130e+01 1.0195879e+01 4.0430188e-01 3.7178218e+00 7.0594817e-01 2.1168304e+01 6.7625911e+01
71 6.3686925e-01 2.1458458e+01 1.0036966e+01 3.4744006e-01 3.7036786e+00 6.8556619e-01 2.1348715e+01 6.8618909e+01
72 6.2872559e-01 2.1538612e+01 9.9921074e+00 3.6049932e-01 3.7714798e+00 6.9068658e-01 2.1450289e+01 6.9475909e+01
73 6.2797886e-01 2.1585714e+01 9.8999920e+00 3.4048089e-01 3.7782762e+00 7.1832240e-01 2.1363842e+01 7.0378907e+01
74 6.3981253e-01 2.1519339e+01 9.7643719e+00 3.7664092e-01 3.7111924e+00 6.7927611e-01 2.1417248e+01 7.1222905e+01
75 6.3496214e-01 2.1533394e+01 9.6616697e+00 3.6989754e-01 3.7664106e+00 6.6983211e-01 2.1341511e+01 7.2050904e+01
76 6.2175304e-01 2.1491045e+01 9.6450081e+00 3.6224034e-01 3.7589047e+00 7.0514584e-01 2.1441294e+01 7.3028904e+01
77 6.1913806e-01 2.1483622e+01 9.4466639e+00 3.7032482e-01 3.7452133e+00 6.6351312e-01 2.1398823e+01 7.3887905e+01
78 6.0319716e-01 2.1510656e+01 9.4139900e+00 3.6147410e-01 3.7547479e+00 6.5996128e-01 2.1324800e+01 7.4745903e+01
79 5.9635717e-01 2.1442032e+01 9.3336296e+00 3.8434795e-01 3.7595115e+00 6.5486443e-01 2.1454914e+01 7.5859906e+01
80 5.9169704e-01 2.1495628e+01 9.2315722e+00 3.7089121e-01 3.7741172e+00 6.6102487e-01 2.1424963e+01 7.6902908e+01
81 5.9432572e-01 2.1533421e+01 9.1071501e+00 3.6157635e-01 3.7700565e+00 6.5599597e-01 2.1510277e+01 7.7894906e+01
82 5.9194487e-01 2.1570955e+01 9.0406075e+00 3.4320256e-01 3.8024611e+00 6.6296631e-01 2.1475100e+01 7.8757900e+01
83 5.8811879e-01 2.1533630e+01 8.9122467e+00 3.8679731e-01 3.7946651e+00 6.5373951e-01 2.1475901e+01 7.9603899e+01
84 5.8838391e-01 2.1536005e+01 8.7495260e+00 3.5079017e-01 3.7545199e+00 6.4978141e-01 2.1447350e+01 8.0437898e+01
85 5.9388137e-01 2.1537813e+01 8.7251511e+00 3.4697795e-01 3.7591453e+00 6.7778778e-01 2.1539192e+01 8.1258898e+01
86 6.1007738e-01 2.1549204e+01 8.5662460e+00 3.2082230e-01 3.7751327e+00 6.5475655e-01 2.1519361e+01 8.2255898e+01
87 5.8784723e-01 2.1568357e+01 8.4704857e+00 3.2712805e-01 3.7768540e+00 6.4187986e-01 2.1417868e+01 8.3146896e+01
88 5.8745599e-01 2.1529461e+01 8.3440447e+00 3.2245508e-01 3.7722018e+00 6.4295101e-01 2.1449577e+01 8.4049896e+01
89 5.8157253e-01 2.1532812e+01 8.2485924e+00 3.5058415e-01 3.7468944e+00 6.4441580e-01 2.1534300e+01 8.4928894e+01
90 5.8275175e-01 2.1592339e+01 8.1203299e+00 3.2008490e-01 3.7987707e+00 6.4536375e-01 2.1382954e+01 8.5831891e+01
91 5.8476734e-01 2.1520281e+01 8.0135679e+00 3.3718914e-01 3.7282934e+00 6.4024931e-01 2.1488440e+01 8.6753889e+01
92 5.7927024e-01 2.1519430e+01 7.9406595e+00 3.1887409e-01 3.7479172e+00 6.3541931e-01 2.1442137e+01 8.7589889e+01
93 5.7848281e-01 2.1557926e+01 7.8413811e+00 3.0714691e-01 3.7548363e+00 6.4131814e-01 2.1426416e+01 8.8437889e+01
94 5.7776088e-01 2.1567942e+01 7.7569604e+00 3.1429666e-01 3.7505336e+00 6.4070565e-01 2.1448097e+01 8.9523884e+01
95 5.7468700e-01 2.1567129e+01 7.6850514e+00 3.1294963e-01 3.7675066e+00 6.3933390e-01 2.1473431e+01 9.0540880e+01
96 5.7004017e-01 2.1565811e+01 7.5866446e+00 3.0969375e-01 3.7254963e+00 6.3238192e-01 2.1537106e+01 9.1496878e+01
97 5.7000726e-01 2.1611441e+01 7.5247688e+00 3.3446696e-01 3.7523847e+00 6.3591319e-01 2.1521614e+01 9.2393877e+01
98 5.6860006e-01 2.1641174e+01 7.4290051e+00 3.0974764e-01 3.7255633e+00 6.4028686e-01 2.1598120e+01 9.3261872e+01
99 5.7799268e-01 2.1671097e+01 7.3426137e+00 2.8348142e-01 3.7637432e+00 6.4419097e-01 2.1538055e+01 9.4050869e+01
100 5.7583773e-01 2.1634062e+01 7.2096739e+00 2.7740872e-01 3.7039747e+00 6.3999277e-01 2.1574369e+01 9.4935863e+01
101 5.7467234e-01 2.1666014e+01 7.1676621e+00 3.1612942e-01 3.7417014e+00 6.3000041e-01 2.1613972e+01 9.5914862e+01
102 5.7568812e-01 2.1690023e+01 7.0682344e+00 3.0275390e-01 3.6903682e+00 6.4278847e-01 2.1652527e+01 9.6764855e+01
103 5.9483969e-01 2.1690992e+01 7.0413895e+00 3.2317305e-01 3.7064083e+00 6.4880288e-01 2.1615864e+01 9.7642856e+01
104 6.1049962e-01 2.1768051e+01 6.9667015e+00 3.1487811e-01 3.7519097e+00 7.2016060e-01 2.1581697e+01 9.8532851e+01
105 6.1606324e-01 2.1695652e+01 6.9555941e+00 2.9444817e-01 3.6423974e+00 7.1690935e-01 2.1690458e+01 9.9395850e+01
106 6.3682640e-01 2.1767370e+01 6.9184380e+00 3.1125012e-01 3.7263188e+00 6.5724051e-01 2.1715811e+01 1.0033885e+02
107 6.1467916e-01 2.1808344e+01 6.8710399e+00 3.1919882e-01 3.7172701e+00 6.7146409e-01 2.1581472e+01 1.0122284e+02
108 6.0161853e-01 2.1794542e+01 6.8546324e+00 3.2871479e-01 3.6456664e+00 6.4840496e-01 2.1660477e+01 1.0198184e+02
109 5.8454275e-01 2.1787086e+01 6.8038397e+00 3.4047952e-01 3.6806829e+00 6.4761204e-01 2.1711439e+01 1.0311884e+02
110 5.7701218e-01 2.1751730e+01 6.7813005e+00 3.1683180e-01 3.7082617e+00 6.2417048e-01 2.1651583e+01 1.0415684e+02
111 5.6755000e-01 2.1774302e+01 6.7240934e+00 3.4090564e-01 3.7530069e+00 6.4613837e-01 2.1675522e+01 1.0514284e+02
112 5.6918228e-01 2.1779551e+01 6.6917629e+00 3.3310884e-01 3.7172403e+00 6.5241820e-01 2.1655121e+01 1.0601684e+02
113 5.6767613e-01 2.1744297e+01 6.6138391e+00 3.1955406e-01 3.6687834e+00 6.2945491e-01 2.1639498e+01 1.0683584e+02
114 5.5652100e-01 2.1727457e+01 6.5147443e+00 3.0677938e-01 3.6783423e+00 6.2441462e-01 2.1739887e+01 1.0767484e+02
115 5.5488616e-01 2.1757458e+01 6.4228153e+00 2.9050499e-01 3.7047355e+00 6.1915004e-01 2.1772324e+01 1.0849384e+02
116 5.5098450e-01 2.1833340e+01 6.3364167e+00 3.2425806e-01 3.7123523e+00 6.1950439e-01 2.1695728e+01 1.0945283e+02
117 5.5024821e-01 2.1803730e+01 6.2525530e+00 2.9618883e-01 3.6962242e+00 6.2044364e-01 2.1636139e+01 1.1032783e+02
118 5.4618722e-01 2.1788279e+01 6.1643887e+00 3.1893584e-01 3.6960456e+00 6.1611909e-01 2.1731062e+01 1.1111283e+02
119 5.4370677e-01 2.1778904e+01 6.0713935e+00 3.0615962e-01 3.6727271e+00 6.1406916e-01 2.1727617e+01 1.1194683e+02
120 5.4357290e-01 2.1844702e+01 6.0093446e+00 2.8333947e-01 3.7040286e+00 6.1370105e-01 2.1717049e+01 1.1288083e+02
121 5.4231191e-01 2.1816385e+01 5.9325910e+00 2.6688191e-01 3.6690474e+00 6.1438817e-01 2.1729433e+01 1.1384383e+02
122 5.4163527e-01 2.1852352e+01 5.8758693e+00 2.7778059e-01 3.6608324e+00 6.1613786e-01 2.1772329e+01 1.1470481e+02
123 5.4189414e-01 2.1865412e+01 5.7924428e+00 2.4832383e-01 3.6549294e+00 6.1285865e-01 2.1734163e+01 1.1548681e+02
124 5.4371279e-01 2.1868397e+01 5.7510223e+00 2.7793366e-01 3.6497273e+00 6.1346120e-01 2.1828308e+01 1.1657182e+02
125 5.4073203e-01 2.1902414e+01 5.6928368e+00 2.7083722e-01 3.6387341e+00 6.1160558e-01 2.1851086e+01 1.1765282e+02
126 5.3815615e-01 2.1937626e+01 5.6457920e+00 2.7856061e-01 3.6639380e+00 6.1055505e-01 2.1853546e+01 1.1861782e+02
127 5.3575706e-01 2.1944399e+01 5.5923252e+00 2.8171143e-01 3.6270907e+00 6.0787362e-01 2.1829052e+01 1.1945182e+02
128 5.3805262e-01 2.1965328e+01 5.5578222e+00 2.9842398e-01 3.6425827e+00 6.0992825e-01 2.1802872e+01 1.2035882e+02
129 5.3722137e-01 2.1976261e+01 5.5040612e+00 2.6420137e-01 3.6353290e+00 6.1843789e-01 2.1819244e+01 1.2122982e+02
130 5.3711516e-01 2.1971758e+01 5.4688349e+00 2.7640259e-01 3.5939820e+00 6.1097854e-01 2.1967041e+01 1.2206782e+02
131 5.3843629e-01 2.2006742e+01 5.4228172e+00 2.5404665e-01 3.6176529e+00 6.1503100e-01 2.1921883e+01 1.2306782e+02
132 5.3272206e-01 2.2037687e+01 5.3837829e+00 2.6509061e-01 3.5989153e+00 6.0913461e-01 2.1937634e+01 1.2391682e+02
133 5.3572255e-01 2.2034784e+01 5.3323202e+00 2.8373918e-01 3.5895576e+00 6.0723621e-01 2.1900282e+01 1.2475482e+02
134 5.3590423e-01 2.2047310e+01 5.2976604e+00 2.5128835e-01 3.5969026e+00 6.0742259e-01 2.1943321e+01 1.2560881e+02
135 5.3379554e-01 2.2056774e+01 5.2557206e+00 2.6569167e-01 3.5744872e+00 6.1031657e-01 2.1973715e+01 1.2677581e+02
136 5.3312379e-01 2.2084763e+01 5.1988821e+00 2.6751634e-01 3.5833371e+00 6.0567838e-01 2.1916506e+01 1.2790581e+02
137 5.2759904e-01 2.2065681e+01 5.1746769e+00 2.5418037e-01 3.5645137e+00 6.1142433e-01 2.1988073e+01 1.2892081e+02
138 5.2997369e-01 2.2096329e+01 5.1510921e+00 2.6730683e-01 3.5874536e+00 6.0559201e-01 2.2008150e+01 1.3019182e+02
